,Unnamed: 0,chord,altchord,measure,beat,totbeat,timesig,op,no,mov,length,global_key,local_key,pedal,numeral,form,figbass,changes,relativeroot,phraseend
28,28.0,V43,,14.0,,35.0,3/4,127,12.0,1.0,1.0,Eb,I,,V,,,,,False
29,29.0,I6,,14.0,3.0,36.0,3/4,127,12.0,1.0,1.0,Eb,I,,I,,,,,False
30,30.0,ii6,,15.0,1.0,37.0,3/4,127,12.0,1.0,,Eb,I,,ii,,,,,False
31,31.0,V2,,15.0,3.0,39.0,3/4,127,12.0,1.0,1.0,Eb,I,,V,,,,,False
32,32.0,I6,,16.0,1.0,40.0,3/4,127,12.0,1.0,,Eb,I,,I,,,,,False
33,33.0,vi64,,16.0,3.0,,3/4,127,12.0,1.0,1.0,Eb,I,,vi,,,,,False
34,34.0,V43,,17.0,1.0,,3/4,127,12.0,1.0,3.0,Eb,I,,V,,,,,False
35,35.0,I6,,18.0,1.0,46.0,3/4,127,12.0,1.0,1.0,Eb,I,,I,,,4,,False
36,36.0,I6,,18.0,,47.0,3/4,127,12.0,1.0,1.0,Eb,I,,I,,,,,False
37,37.0,I+6,,18.0,3.0,48.0,3/4,127,12.0,1.0,1.0,Eb,I,,I,+,,,,False
38,38.0,IV,,19.0,1.0,49.0,3/4,127,12.0,1.0,1.0,Eb,I,,IV,,,,,False
39,39.0,ii6,,19.0,,50.0,3/4,127,12.0,1.0,1.0,Eb,I,,ii,,,,,False
40,40.0,V2,,19.0,3.0,51.0,3/4,127,12.0,1.0,1.0,Eb,I,,V,,,,,False
41,41.0,I6,,20.0,1.0,52.0,3/4,127,12.0,1.0,,Eb,I,,I,,,,,False
42,,IV,,20.0,3.0,54.0,3/4,127,12.0,1.0,1.0,Eb,I,,IV,,,,,False
43,,I64,,21.0,1.0,55.0,3/4,127,12.0,1.0,1.0,Eb,I,,I,,,,,False
44,44.0,vi,,21.0,,56.0,3/4,127,12.0,1.0,1.0,Eb,I,,vi,,,,,False
45,45.0,V65,,21.0,3.0,57.0,3/4,127,12.0,1.0,1.0,Eb,I,,V,,,,,False
46,46.0,I,,22.0,1.0,58.0,3/4,127,12.0,1.0,1.0,Eb,I,,I,,,,,False
47,47.0,I6,,22.0,,59.0,3/4,127,12.0,1.0,1.0,Eb,I,,I,,,,,False
48,48.0,I64,,22.0,3.0,60.0,3/4,127,12.0,1.0,1.0,Eb,I,,I,,,,,False
49,49.0,I,,23.0,1.0,61.0,3/4,127,12.0,1.0,3.0,Eb,I,,I,,,,,False
50,50.0,V43,,24.0,1.0,,3/4,127,12.0,1.0,,Eb,I,,V,,,,,False
51,51.0,V7,,24.0,3.0,66.0,3/4,127,12.0,1.0,3.0,Eb,I,,V,,,,,False
52,52.0,V65,,25.0,3.0,69.0,3/4,127,12.0,1.0,,Eb,I,,V,,,,,False
53,53.0,I,,26.0,,71.0,3/4,127,12.0,1.0,1.0,Eb,I,,I,,,,,False
54,54.0,I64,,26.0,3.0,72.0,3/4,127,12.0,1.0,1.0,Eb,I,,I,,,,,False
55,55.0,I6,,27.0,1.0,73.0,3/4,127,12.0,1.0,1.0,Eb,I,,I,,,,,False
56,56.0,I,,27.0,,74.0,3/4,127,12.0,1.0,0.5,Eb,I,,I,,,,,False
57,57.0,V2/IV,,27.0,2.5,74.5,3/4,127,12.0,1.0,0.5,Eb,I,,V,,,,IV,False
58,58.0,ii43,,27.0,3.0,75.0,3/4,127,12.0,1.0,0.5,Eb,I,,ii,,,,,False
59,59.0,viio6,,27.0,3.5,75.5,3/4,127,12.0,1.0,0.5,Eb,I,,vii,o,,,IV,False
60,60.0,ii6,,28.0,1.0,76.0,3/4,127,12.0,1.0,,Eb,I,,ii,,,,,False
61,61.0,III7,,28.0,3.0,78.0,3/4,127,12.0,1.0,0.5,Eb,I,,III,,,,,False
62,62.0,ii6,,28.0,3.5,78.5,3/4,127,12.0,1.0,0.5,Eb,I,,ii,,,,,False
63,63.0,V65/V,,29.0,1.0,79.0,3/4,127,12.0,1.0,0.5,Eb,I,,V,,,,V,False
64,,V(64),,29.0,1.5,79.5,3/4,127,12.0,1.0,1.5,Eb,I,,V,,,64,,False
65,,V7,,29.0,3.0,81.0,3/4,127,12.0,1.0,1.0,Eb,I,,V,,,,,False
66,66.0,#viio7,,30.0,1.0,82.0,3/4,127,12.0,1.0,0.5,Eb,I,,R,o,,,vi,False
67,67.0,vi,,30.0,1.5,82.5,3/4,127,12.0,1.0,1.5,Eb,I,,vi,,,,,False
68,68.0,V64,,30.0,3.0,84.0,3/4,127,12.0,1.0,0.5,Eb,I,,V,,,,vi,False
69,69.0,vii%7,,30.0,3.5,84.5,3/4,127,12.0,1.0,1.0,Eb,I,,vii,%,,,,False
70,70.0,I,,31.0,1.5,85.5,3/4,127,12.0,1.0,0.5,Eb,I,,I,,,,,False
71,71.0,ii6,,31.0,,86.0,3/4,127,12.0,1.0,0.5,Eb,I,,ii,,,,,False
72,72.0,R,,31.0,2.5,86.5,3/4,127,12.0,1.0,0.5,Eb,I,,R,%,,,,False
73,73.0,V,,31.0,3.0,87.0,3/4,127,12.0,1.0,1.0,Eb,I,,V,,,,,False
74,74.0,I\\\\,,32.0,1.0,88.0,3/4,127,12.0,1.0,3.0,Eb,I,,I,,,,,True
75,75.0,I6,,33.0,1.0,91.0,3/4,127,12.0,1.0,,Eb,I,,I,,,,,False
76,76.0,V64,,33.0,3.0,93.0,3/4,127,12.0,1.0,1.0,Eb,I,,V,,,,,False
77,77.0,I,,34.0,1.0,94.0,3/4,127,12.0,1.0,3.0,Eb,I,,I,,,,,False
78,78.0,vi,,35.0,1.0,97.0,3/4,127,12.0,1.0,,Eb,I,,vi,,,,,False
79,79.0,ii,,35.0,3.0,99.0,3/4,127,12.0,1.0,1.0,Eb,I,,ii,,,,,False
80,80.0,V65,,36.0,1.0,100.0,3/4,127,12.0,1.0,1.0,Eb,I,,V,,,,vi,False
81,81.0,vi,,36.0,,101.0,3/4,127,12.0,1.0,,Eb,vi,,i,,,,,True
82,82.0,v6,,37.0,1.0,103.0,3/4,127,12.0,1.0,,Eb,vi,,v,,,,,False
83,83.0,R,,37.0,3.0,105.0,3/4,127,12.0,1.0,1.0,Eb,vi,,II,,,,,False
84,84.0,v,,38.0,1.0,106.0,3/4,127,12.0,1.0,1.0,Eb,vi,,v,,,,,False
85,85.0,iv,,38.0,,107.0,3/4,127,12.0,1.0,1.0,Eb,vi,,iv,,,,,False
86,86.0,R,,38.0,3.0,108.0,3/4,127,12.0,1.0,1.0,Eb,vi,,II,,,,,False
87,87.0,iii,,39.0,1.0,109.0,3/4,127,12.0,1.0,,Eb,iii,,V,,,64,,False
88,88.0,V2,,39.0,3.0,111.0,3/4,127,12.0,1.0,0.5,Eb,iii,,V,,,,,False
89,89.0,i6,,39.0,3.5,111.5,3/4,127,12.0,1.0,0.5,Eb,iii,,i,,,,,False
90,90.0,V43,,40.0,1.0,112.0,3/4,127,12.0,1.0,1.5,Eb,iii,,V,,,,,False
91,91.0,i,,40.0,2.5,113.5,3/4,127,12.0,1.0,1.0,Eb,iii,i,i,,,,,False
92,92.0,V7,,40.0,3.5,114.5,3/4,127,12.0,1.0,0.5,Eb,iii,i,V,,,,,False
93,93.0,i64,,41.0,1.0,115.0,3/4,127,12.0,1.0,3.0,Eb,iii,i,i,,,,,False
94,94.0,R,,,1.0,118.0,3/4,127,12.0,1.0,1.0,Eb,iii,i,ii,o,,,,False
95,95.0,iio6,,,,119.0,3/4,127,12.0,1.0,1.0,Eb,iii,i,ii,o,,,,False
96,96.0,i64,,,3.0,120.0,3/4,127,12.0,1.0,0.5,Eb,iii,i,i,,,,,False
97,97.0,#viio2,,,3.5,120.5,3/4,127,12.0,1.0,0.5,Eb,iii,i,R,o,,,,False
98,98.0,#viio43,,,1.0,121.0,3/4,127,12.0,1.0,3.0,Eb,iii,i,R,o,,,,False
99,99.0,#viio2,,44.0,1.0,124.0,3/4,127,12.0,1.0,1.0,Eb,iii,i,R,o,,,,False
100,100.0,i64,,44.0,,125.0,3/4,127,12.0,1.0,1.0,Eb,iii,i,i,,,,,False
101,101.0,ii%7,,44.0,3.0,126.0,3/4,127,12.0,1.0,1.0,Eb,iii,,ii,%,,,,False
102,102.0,V65,,45.0,1.0,127.0,3/4,127,12.0,1.0,3.0,Eb,iii,,V,,,,IV,False
103,103.0,IV,,46.0,1.0,130.0,3/4,127,12.0,1.0,1.0,Eb,iii,,IV,,,94,,False
104,104.0,IV,,46.0,,131.0,3/4,127,12.0,1.0,1.0,Eb,iii,,IV,,,#2,,False
105,105.0,V65/V,,46.0,3.0,132.0,3/4,127,12.0,1.0,2.5,Eb,iii,,V,,,,V,False
106,106.0,V,,47.0,2.5,134.5,3/4,127,12.0,1.0,0.5,Eb,iii,,V,,,,,False
107,107.0,V43,,47.0,3.0,135.0,3/4,127,12.0,1.0,1.0,Eb,iii,,V,,,,V,False
108,108.0,V65,,48.0,1.0,136.0,3/4,127,12.0,1.0,1.0,Eb,iii,,V,,,,,False
109,109.0,i64,,48.0,,137.0,3/4,127,12.0,1.0,1.0,Eb,iii,,i,,,,,False
110,110.0,V7,,48.0,3.0,138.0,3/4,127,12.0,1.0,1.0,Eb,iii,,V,,,,,False
111,111.0,i,,49.0,1.0,139.0,3/4,127,12.0,1.0,3.0,Eb,iii,i,i,,,,,False
112,112.0,V2,,50.0,1.0,142.0,3/4,127,12.0,1.0,,Eb,iii,i,V,,,,,False
113,113.0,i6,,50.0,3.0,144.0,3/4,127,12.0,1.0,0.5,Eb,iii,i,i,,,,,False
114,114.0,#viio65,,50.0,3.5,144.5,3/4,127,12.0,1.0,0.5,Eb,iii,i,R,o,,,,False
115,115.0,#viio43,,51.0,1.0,145.0,3/4,127,12.0,1.0,,Eb,iii,i,R,o,,,,False
116,116.0,i6,,51.0,3.0,147.0,3/4,127,12.0,1.0,1.0,Eb,iii,i,i,,,,,False
117,117.0,V43,,52.0,1.0,148.0,3/4,127,12.0,1.0,1.0,Eb,iii,i,V,,,,,False
118,118.0,VI6,,52.0,,149.0,3/4,127,12.0,1.0,1.0,Eb,iii,i,VI,,,,,False
119,119.0,R,,52.0,3.0,150.0,3/4,127,12.0,1.0,0.5,Eb,iii,i,#vi,,,,,False
120,120.0,#viio6,,52.0,3.5,150.5,3/4,127,12.0,1.0,0.5,Eb,iii,i,R,o,,,,False
121,121.0,i6,,53.0,1.0,151.0,3/4,127,12.0,1.0,,Eb,iii,i,i,,,,,False
122,122.0,V6,,53.0,3.0,153.0,3/4,127,12.0,1.0,1.0,Eb,iii,i,V,,,,iv,False
123,123.0,IV64,,54.0,1.0,154.0,3/4,127,12.0,1.0,1.0,Eb,iii,i,IV,,,7,,False
124,124.0,IV64,,54.0,,155.0,3/4,127,12.0,1.0,1.0,Eb,iii,i,IV,,,#5,,False
125,125.0,V6,,54.0,3.0,156.0,3/4,127,12.0,1.0,,Eb,iii,i,V,,,,V,False
126,126.0,V,,55.0,,158.0,3/4,127,12.0,1.0,1.0,Eb,iii,i,V,,,,,False
127,127.0,V43,,55.0,3.0,159.0,3/4,127,12.0,1.0,1.0,Eb,iii,,V,,,,V,False
128,128.0,V65,,56.0,1.0,160.0,3/4,127,12.0,1.0,0.5,Eb,iii,,V,,,,,False
129,129.0,i,,56.0,1.5,160.5,3/4,127,12.0,1.0,1.0,Eb,iii,,i,,,,,False
130,130.0,iv,,56.0,2.5,161.5,3/4,127,12.0,1.0,0.5,Eb,iii,,iv,,,,,False
131,131.0,V(64),,56.0,3.0,162.0,3/4,127,12.0,1.0,0.5,Eb,iii,,V,,,64,,False
132,132.0,V2,,56.0,3.5,162.5,3/4,127,12.0,1.0,0.5,Eb,iii,,V,,,,,False
133,133.0,i6,,57.0,1.0,163.0,3/4,127,12.0,1.0,,Eb,iii,,i,,,,,False
134,134.0,i64,,57.0,3.0,165.0,3/4,127,12.0,1.0,1.0,Eb,iii,,i,,,,,False
135,135.0,V43,,58.0,1.0,166.0,3/4,127,12.0,1.0,1.0,Eb,iii,,V,,,4,,False
136,136.0,V,,58.0,,167.0,3/4,127,12.0,1.0,1.0,Eb,iii,,V,,,,,False
137,137.0,i6,,58.0,3.0,168.0,3/4,127,12.0,1.0,1.0,Eb,iii,,i,,,,,False
138,138.0,i,,59.0,1.0,169.0,3/4,127,12.0,1.0,3.0,Eb,iii,,i,,,,,False
139,139.0,V,,60.0,1.0,172.0,3/4,127,12.0,1.0,1.0,Eb,iii,,V,,,2,,False
140,140.0,V6,,60.0,,173.0,3/4,127,12.0,1.0,1.0,Eb,iii,,V,,,,,False
141,141.0,i,,60.0,3.0,174.0,3/4,127,12.0,1.0,1.0,Eb,iii,,i,,,,,False
142,142.0,i64,,61.0,1.0,175.0,3/4,127,12.0,1.0,,Eb,iii,,i,,,,,False
143,143.0,iv6,,61.0,3.0,177.0,3/4,127,12.0,1.0,1.0,Eb,iii,,iv,,,,,False
144,144.0,V,,62.0,1.0,178.0,3/4,127,12.0,1.0,1.0,Eb,iii,,V,,,4,,False
145,145.0,V,,62.0,,179.0,3/4,127,12.0,1.0,1.0,Eb,iii,,V,,,,,False
146,146.0,i64,,62.0,3.0,180.0,3/4,127,12.0,1.0,1.0,Eb,iii,,i,,,,,False
147,147.0,VI,,63.0,1.0,181.0,3/4,127,12.0,1.0,0.5,Eb,iii,,VI,,,,,False
148,148.0,V43,,63.0,1.5,181.5,3/4,127,12.0,1.0,0.5,Eb,iii,,V,,,,iv,False
149,149.0,iv,,63.0,,182.0,3/4,127,12.0,1.0,1.0,Eb,iii,,iv,,,,,False
150,150.0,iio,,63.0,3.0,183.0,3/4,127,12.0,1.0,1.0,Eb,iii,,ii,o,,,,False
151,151.0,V7/V,,,1.0,184.0,3/4,127,12.0,1.0,1.0,Eb,iii,,V,,,,V,False
152,152.0,V7,,,,185.0,3/4,127,12.0,1.0,,Eb,iii,,V,,,,,False
153,153.0,i,,,1.0,187.0,3/4,127,12.0,1.0,3.0,Eb,iii,,i,,,,,False
154,154.0,i\\\\,,66.0,1.0,190.0,3/4,127,12.0,1.0,3.0,Eb,iii,,i,,,,,True
155,155.0,i64,,67.0,1.0,193.0,3/4,127,12.0,1.0,3.0,Eb,iii,,i,,,,,False
156,156.0,i64,,68.0,1.0,196.0,3/4,127,12.0,1.0,1.0,Eb,iii,,i,,,,,False
157,157.0,V7,,68.0,,197.0,3/4,127,12.0,1.0,,Eb,iii,,V,,,,,False
158,158.0,i,,69.0,1.0,199.0,3/4,127,12.0,1.0,3.0,Eb,iii,,i,,,,,False
159,159.0,i\\\\,,70.0,1.0,202.0,3/4,127,12.0,1.0,3.0,Eb,iii,,i,,,,,True
160,160.0,i64,,71.0,1.0,205.0,3/4,127,12.0,1.0,1.0,Eb,iii,,i,,,,,False
161,161.0,I64,,71.0,,206.0,3/4,127,12.0,1.0,,Eb,iii,,I,,,,,False
162,162.0,i64,,72.0,1.0,208.0,3/4,127,12.0,1.0,1.0,Eb,iii,,i,,,,,False
163,163.0,V7,,72.0,,209.0,3/4,127,12.0,1.0,,Eb,iii,,V,,,,,False
164,164.0,V7,,74.0,,215.0,3/4,127,12.0,1.0,,Eb,iii,,V,,,,,False
165,165.0,III,,75.0,1.0,217.0,2/4,127,12.0,1.0,2.5,Eb,III,,I,,,,,False
166,166.0,V43,,76.0,1.5,219.5,2/4,127,12.0,1.0,1.5,Eb,III,,V,,,,,False
167,167.0,I,,77.0,1.0,221.0,2/4,127,12.0,1.0,2.5,Eb,III,,I,,,,,False
168,168.0,V2,,78.0,1.5,223.5,2/4,127,12.0,1.0,1.5,Eb,III,,V,,,,,False
169,169.0,I6,,79.0,1.0,225.0,2/4,127,12.0,1.0,1.5,Eb,III,,I,,,,,False
170,170.0,vi,,79.0,2.5,226.5,2/4,127,12.0,1.0,0.5,Eb,III,,vi,,,,,False
171,171.0,IV,,80.0,1.0,227.0,2/4,127,12.0,1.0,,Eb,III,,IV,,,,,False
172,172.0,IV64,,81.0,1.0,229.0,3/4,127,12.0,1.0,1.0,Eb,III,,IV,,,,,False
173,173.0,viio64,,81.0,,230.0,3/4,127,12.0,1.0,,Eb,III,,vii,o,,,,False
174,174.0,I6,,82.0,1.0,232.0,3/4,127,12.0,1.0,,Eb,III,,I,,,,,False
175,175.0,vi6,,82.0,3.0,234.0,3/4,127,12.0,1.0,1.0,Eb,III,,vi,,,,,False
176,176.0,ii2,,83.0,1.0,235.0,3/4,127,12.0,1.0,1.0,Eb,III,,ii,,,,,False
177,177.0,ii,,83.0,,236.0,3/4,127,12.0,1.0,1.0,Eb,III,,ii,,,,,False
178,178.0,viio6,,83.0,3.0,237.0,3/4,127,12.0,1.0,1.0,Eb,III,,vii,o,,,,False
179,179.0,I6,,84.0,1.0,238.0,3/4,127,12.0,1.0,1.0,Eb,III,,I,,,,,False
180,180.0,I,,84.0,,239.0,3/4,127,12.0,1.0,1.0,Eb,III,,I,,,,,False
181,181.0,V7,,84.0,3.0,240.0,3/4,127,12.0,1.0,1.0,Eb,III,,V,,,#5,IV,False
182,182.0,IV64,,85.0,1.0,241.0,3/4,127,12.0,1.0,1.0,Eb,III,,IV,,,,,False
183,183.0,ii6,,85.0,,242.0,3/4,127,12.0,1.0,1.0,Eb,III,,ii,,,,,False
184,184.0,V2,,85.0,3.0,243.0,3/4,127,12.0,1.0,1.0,Eb,III,,V,,,,,False
185,185.0,V2,,86.0,1.0,244.0,3/4,127,12.0,1.0,1.0,Eb,III,,V,,,,,False
186,186.0,I64,,86.0,,245.0,3/4,127,12.0,1.0,,Eb,III,,I,,,,,False
187,187.0,IV6,,87.0,1.0,247.0,3/4,127,12.0,1.0,,Eb,III,,IV,,,,,False
188,188.0,V65,,87.0,3.0,249.0,3/4,127,12.0,1.0,1.0,Eb,III,,V,,,,,False
189,189.0,V2,,88.0,1.0,250.0,3/4,127,12.0,1.0,1.0,Eb,III,,V,,,,,False
190,190.0,I6,,88.0,,251.0,3/4,127,12.0,1.0,1.0,Eb,III,,I,,,,,False
191,191.0,I,,88.0,3.0,252.0,3/4,127,12.0,1.0,0.5,Eb,III,,I,,,,,False
192,192.0,V7,,88.0,3.5,252.5,3/4,127,12.0,1.0,0.5,Eb,III,,V,,,#5,IV,False
193,193.0,IV,,89.0,1.0,253.0,3/4,127,12.0,1.0,1.0,Eb,III,,IV,,,,,False
194,194.0,ii6,,89.0,,254.0,3/4,127,12.0,1.0,4.0,Eb,III,,ii,,,,,False
195,195.0,vii%43,,89.0,,258.0,3/4,127,12.0,1.0,-2.0,Eb,III,,vii,%,,,,False
196,196.0,V2,,90.0,1.0,256.0,3/4,127,12.0,1.0,1.0,Eb,III,,V,,,,,False
197,197.0,I6,,90.0,,257.0,3/4,127,12.0,1.0,,Eb,III,,I,,,,,False
198,198.0,ii,,91.0,1.0,259.0,3/4,127,12.0,1.0,1.0,Eb,III,,ii,,,2,,False
199,199.0,ii,,91.0,,260.0,3/4,127,12.0,1.0,,Eb,III,,ii,,,,,False
200,200.0,I,,92.0,1.0,262.0,3/4,127,12.0,1.0,4.0,Eb,III,,I,,,2,,False
201,201.0,I,,92.0,5.0,266.0,3/4,127,12.0,1.0,-1.0,Eb,III,,I,,,,,False
202,202.0,V2/IV,,93.0,1.0,265.0,3/4,127,12.0,1.0,,Eb,III,,V,,,,IV,False
203,203.0,I,,93.0,3.0,267.0,3/4,127,12.0,1.0,1.0,Eb,III,,I,,,,,False
204,204.0,IV6,,94.0,1.0,268.0,3/4,127,12.0,1.0,1.0,Eb,III,,IV,,,2,,False
205,205.0,IV64,,94.0,,269.0,3/4,127,12.0,1.0,1.0,Eb,III,,IV,,,,,False
206,206.0,iv6,,94.0,3.0,270.0,3/4,127,12.0,1.0,1.0,Eb,III,,iv,,,,,False
207,207.0,V64,,95.0,1.0,271.0,3/4,127,12.0,1.0,1.0,Eb,III,,V,,,2,,False
208,208.0,I6,,95.0,,272.0,3/4,127,12.0,1.0,1.0,Eb,III,,I,,,,,False
209,209.0,I,,95.0,3.0,273.0,3/4,127,12.0,1.0,1.0,Eb,III,,I,,,,,False
210,210.0,V7,,96.0,1.0,274.0,3/4,127,12.0,1.0,1.0,Eb,III,,V,,,b9,,False
211,211.0,V2,,96.0,,275.0,3/4,127,12.0,1.0,1.0,Eb,III,,V,,,,,False
212,212.0,V43,,96.0,3.0,276.0,3/4,127,12.0,1.0,1.0,Eb,III,,V,,,,,False
213,213.0,I,,97.0,1.0,277.0,3/4,127,12.0,1.0,,Eb,III,,I,,,,,False
214,214.0,V2,,97.0,3.0,279.0,3/4,127,12.0,1.0,1.0,Eb,III,,V,,,,,False
215,215.0,I6,,98.0,1.0,280.0,3/4,127,12.0,1.0,1.0,Eb,III,,I,,,72,,False
216,216.0,I6,,98.0,,281.0,3/4,127,12.0,1.0,1.0,Eb,III,,I,,,,,False
217,217.0,I64,,98.0,3.0,282.0,3/4,127,12.0,1.0,1.0,Eb,III,,I,,,,,False
218,218.0,I,,99.0,1.0,283.0,3/4,127,12.0,1.0,,Eb,III,,I,,,,,False
219,219.0,V7,,99.0,3.0,285.0,3/4,127,12.0,1.0,1.0,Eb,III,,V,,,4,,False
220,220.0,VII,,100.0,1.0,286.0,3/4,127,12.0,1.0,1.0,Eb,III,,VII,,,,,False
221,221.0,viio,,100.0,,287.0,3/4,127,12.0,1.0,,Eb,III,,vii,o,,,IV,False
222,222.0,iv6,,101.0,1.0,289.0,3/4,127,12.0,1.0,1.0,Eb,III,,iv,,,7,,False
223,223.0,iv6,,101.0,,290.0,3/4,127,12.0,1.0,,Eb,III,,iv,,,,,False
224,224.0,V43,,102.0,1.0,292.0,3/4,127,12.0,1.0,1.0,Eb,III,,V,,,4,IV,False
225,225.0,V43,,102.0,,293.0,3/4,127,12.0,1.0,,Eb,III,,V,,,,IV,False
226,226.0,iv64,,103.0,1.0,295.0,3/4,127,12.0,1.0,3.0,Eb,III,,iv,,,,,False
227,227.0,V2,,104.0,1.0,298.0,3/4,127,12.0,1.0,1.0,Eb,III,,V,,,9,IV,False
228,228.0,V2/IV,,104.0,,299.0,3/4,127,12.0,1.0,,Eb,III,,V,,,,IV,False
229,229.0,iv6,,105.0,1.0,301.0,3/4,127,12.0,1.0,1.0,Eb,III,,iv,,,7,,False
230,230.0,iv6,,105.0,,302.0,3/4,127,12.0,1.0,,Eb,III,,iv,,,,,False
231,231.0,V43,,106.0,1.0,304.0,3/4,127,12.0,1.0,1.0,Eb,III,,V,,,94,IV,False
232,232.0,V43,,106.0,,305.0,3/4,127,12.0,1.0,,Eb,III,,V,,,,IV,False
233,233.0,vi,,107.0,1.0,307.0,3/4,127,12.0,1.0,3.0,Eb,vi,,i,,,,,False
234,234.0,i2,,108.0,1.0,310.0,3/4,127,12.0,1.0,3.0,Eb,vi,,i,,,,,False
235,235.0,V65,,109.0,1.0,313.0,3/4,127,12.0,1.0,,Eb,vi,,V,,,,iv,False
236,236.0,I,,109.0,3.0,315.0,3/4,127,12.0,1.0,1.0,Eb,vi,,I,,,,,False
237,237.0,iv6,,110.0,1.0,316.0,3/4,127,12.0,1.0,1.0,Eb,vi,,iv,,,2,,False
238,238.0,iv,,110.0,,317.0,3/4,127,12.0,1.0,1.0,Eb,vi,,iv,,,,,False
239,239.0,iv6,,110.0,3.0,318.0,3/4,127,12.0,1.0,1.0,Eb,vi,,iv,,,,,False
240,240.0,i64,,111.0,1.0,319.0,3/4,127,12.0,1.0,1.0,Eb,vi,,i,,,119,,False
241,241.0,i6,,111.0,,320.0,3/4,127,12.0,1.0,1.0,Eb,vi,,i,,,,,False
242,242.0,i,,111.0,3.0,321.0,3/4,127,12.0,1.0,1.0,Eb,vi,,i,,,,,False
243,243.0,i64,,112.0,1.0,322.0,3/4,127,12.0,1.0,1.0,Eb,vi,,i,,,,,False
244,244.0,VI6,,112.0,,323.0,3/4,127,12.0,1.0,1.0,Eb,vi,,VI,,,,,False
245,245.0,i,,112.0,3.0,324.0,3/4,127,12.0,1.0,0.5,Eb,vi,,i,,,,,False
246,246.0,i,,112.0,3.5,324.5,3/4,127,12.0,1.0,0.5,Eb,vi,,i,,,1197,,False
247,247.0,i\\\\,,113.0,1.0,325.0,3/4,127,12.0,1.0,1.0,Eb,vi,,i,,,,,True
248,248.0,iv,,113.0,,326.0,3/4,127,12.0,1.0,1.0,Eb,vi,,iv,,,,,False
249,249.0,V64,,113.0,3.0,327.0,3/4,127,12.0,1.0,1.0,Eb,vi,,V,,,,,False
250,250.0,i,,114.0,1.0,328.0,3/4,127,12.0,1.0,1.0,Eb,vi,,i,,,2,,False
251,251.0,i64,,114.0,,329.0,3/4,127,12.0,1.0,1.0,Eb,vi,,i,,,,,False
